,RMSE
"(3, 1, 2)(0, 1, 1, 12)",0.18815537572729005
"(3, 2, 2)(0, 1, 1, 12)",0.2520396542062333
"(3, 1, 3)(0, 1, 1, 12)",0.1696802891288322
"(3, 2, 3)(0, 1, 1, 12)",0.3180471860685331
"(3, 1, 4)(0, 1, 1, 12)",0.2041960289189118
"(3, 2, 4)(0, 1, 1, 12)",0.29524536382164207
"(3, 1, 5)(0, 1, 1, 12)",0.1587341812684086
"(3, 2, 5)(0, 1, 1, 12)",0.3101003218880222
"(3, 1, 7)(0, 1, 1, 12)",0.17877266112393952
"(3, 2, 7)(0, 1, 1, 12)",0.16051993739829704
"(5, 1, 1)(0, 1, 1, 12)",0.16297445010060643
"(5, 2, 1)(0, 1, 1, 12)",0.36647912509310404
"(5, 1, 2)(0, 1, 1, 12)",0.16420664284028683
"(5, 2, 2)(0, 1, 1, 12)",0.1542124997186708
"(5, 1, 3)(0, 1, 1, 12)",0.17211917210841784
"(5, 2, 3)(0, 1, 1, 12)",0.35892257727272303
"(5, 1, 4)(0, 1, 1, 12)",0.2040788967101749
"(5, 2, 4)(0, 1, 1, 12)",0.15731575651690122
"(5, 1, 5)(0, 1, 1, 12)",0.1773272552010934
"(5, 2, 5)(0, 1, 1, 12)",0.5062130284049511
"(5, 1, 7)(0, 1, 1, 12)",0.1904714895568165
"(5, 2, 7)(0, 1, 1, 12)",0.35910143309301473
"(7, 1, 1)(0, 1, 1, 12)",0.17058770865509043
"(7, 2, 1)(0, 1, 1, 12)",0.1526923996518615
"(7, 1, 2)(0, 1, 1, 12)",0.16656220163434363
"(7, 2, 2)(0, 1, 1, 12)",0.15420471904619795
"(7, 1, 3)(0, 1, 1, 12)",0.17615118619071185
"(7, 2, 3)(0, 1, 1, 12)",0.15406336182986566
"(7, 1, 4)(0, 1, 1, 12)",1.591778257167942e+65
"(7, 2, 4)(0, 1, 1, 12)",75587924.53395966
"(7, 1, 5)(0, 1, 1, 12)",0.16872915557384732
"(7, 2, 5)(0, 1, 1, 12)",0.4896334874228283
"(7, 1, 7)(0, 1, 1, 12)",0.2013948277815272
"(7, 2, 7)(0, 1, 1, 12)",0.4189902450414718
"(1, 1, 1)(0, 0, 2, 12)",0.2933417541887877
"(1, 2, 1)(0, 0, 2, 12)",0.30013216888648475
"(1, 1, 2)(0, 0, 2, 12)",0.2929270222679839
"(1, 2, 2)(0, 0, 2, 12)",0.29504420164254397
"(1, 1, 3)(0, 0, 2, 12)",0.29129431175025894
"(1, 2, 3)(0, 0, 2, 12)",0.3035516427926638
"(1, 1, 4)(0, 0, 2, 12)",0.31770413598623887
"(1, 2, 4)(0, 0, 2, 12)",0.3023909015837159
"(1, 1, 5)(0, 0, 2, 12)",0.32553323906756054
"(1, 2, 5)(0, 0, 2, 12)",0.3130265899874035
"(1, 1, 7)(0, 0, 2, 12)",0.33486814583653457
"(1, 2, 7)(0, 0, 2, 12)",0.32203014684120423
"(2, 1, 1)(0, 0, 2, 12)",0.29218044019047856
"(2, 2, 1)(0, 0, 2, 12)",0.2966690590814482
"(2, 1, 2)(0, 0, 2, 12)",0.26292561621833604
"(2, 2, 2)(0, 0, 2, 12)",0.30804452110354485
"(2, 1, 3)(0, 0, 2, 12)",0.3161718406404026
"(2, 2, 3)(0, 0, 2, 12)",0.2988082584858907
"(2, 1, 4)(0, 0, 2, 12)",0.27498753712226065
"(2, 2, 4)(0, 0, 2, 12)",0.27997243059527127
